Start temp,Alpha,Num iterations,Path length,Duration (s)
1000,0.999,500,59297.17871,909
100,0.999,500,60655.111,773
10000,0.999,500,60825.44048,1023
100,0.995,500,73441.56263,154
10000,0.995,500,73948.95084,206
10000,0.999,100,73993.08253,204
1000,0.995,500,74698.01518,176
100,0.999,100,74991.0981,154
1000,0.999,100,76712.75826,177
1000,0.999,50,91028.91045,88
10000,0.999,50,91777.74948,102
1000,0.99,500,92547.95876,88
100,0.99,500,92898.74139,77
10000,0.99,500,94101.83768,101
100,0.999,50,95129.37612,77
10000,0.995,100,131379.8336,41
1000,0.995,100,134178.0256,35
100,0.995,100,137981.6882,30
10000,0.99,100,182931.2514,20
1000,0.99,100,186112.8817,17
10000,0.995,50,187820.4837,20
1000,0.995,50,188289.3293,17
100,0.995,50,189096.5052,15
100,0.99,100,191550.6795,15
1000,0.99,50,254789.5066,8
10000,0.99,50,259292.4654,10
100,0.99,50,269821.9331,7
